100001,上个月吃了优甲乐之后  结果现在都怀孕了。
100002,我吃了快半年优甲乐  症状是身体出现对称性皮疹  脸潮红  身体游走性疼痛  估计与缺钙有关。
100003,吃了三年优甲乐  切身体会优甲乐的副作用  我指的是服用量正常的情况  一是容易引起缺钙  手脚麻  二是颈部皮肤长疣  容易复发  难以断根  原来没想到与优甲乐有关  查了资料才知道原来与激素有关  目前我只有这两种不适体会  也许这还是冰山一角  希望有人有什么体会也来说说  特别是服用时间长的。
100004,我吃了优甲乐以后胃疼  导致胃炎犯了。
100005,我吃了优甲乐两年了  最近发现眼睛肿不知道是不是和优甲乐有关。
100006,我吃了优甲乐胸口痛  以为心绞痛  急诊医生说要考虑胃病级食管疾病。
100007,吃优甲乐没有头晕头痛症状吗  我手术20多天  前两天开始一整天头晕头痛  要是一直这样我真会受不了的
100008,我也是吃了优甲乐胃疼胃胀  还心跳过速
100009,我甲癌切除十年  吃三片优甲乐  胃难受  心慌。
100010,吃优甲乐会感觉胃胀  头疼
100011,我最近5个月经常胃酸多  烧心  昨天去看医生  医生说跟吃优甲乐有关系  量越大  影响越大。
100012,我吃优甲乐  除了时不时手麻脚麻 其余没感觉有什么啊
100013,吃优甲乐十年  四肢无力  头疼  经期不正常  年龄小影响发育
100014,我老婆吃了优甲乐三年宫颈癌  不知道是否相关  不知道能否继续吃？
100015,汗毛长的也可长  像男的一样  不知道是不是优甲乐的问题
100016,自从吃了优甲乐  心慌  胃酸  记忆里减退  以前记忆里可好了  现在超级不好日常工作都会忘记
100017,吃优甲乐没有头晕头痛症状吗  我手术20多天  前两天开始一整天头晕头痛  要是一直这样我真会受不了的
100018,吃了8年优甲乐、爱出汗、没劲、左心室功能降低、有房早、上搂喘、月经推迟、关节响、胃涨、打隔、肌酐、血糖、高、胆汁分泌不好、脂肪代谢不好
100019,你好  请问吃优甲乐有眼睛浮肿  看东西不清楚的症状吗？
100020,服用优甲乐后  血压升高了  血糖也升高了  心跳加快了  怕热又怕冷。
